# VOCABULARY DATA FILE
# Format: ID|GERMAN|ARABIC|GERMAN_EXAMPLE|ARABIC_EXAMPLE|CATEGORY
# Categories: car-interior, driving-actions, traffic-instructions, parking, emergency, examiner-phrases

# Car Interior - داخل السيارة
vocab-001|das Lenkrad|عجلة القيادة|Bitte fassen Sie das Lenkrad mit beiden Händen.|يرجى الإمساك بعجلة القيادة بكلتا يديك.|car-interior
vocab-002|der Sicherheitsgurt|حزام الأمان|Bitte legen Sie den Sicherheitsgurt an.|يرجى ارتداء حزام الأمان.|car-interior
vocab-003|der Rückspiegel|المرآة الخلفية|Schauen Sie in den Rückspiegel bevor Sie abbiegen.|انظر في المرآة الخلفية قبل الانعطاف.|car-interior
vocab-004|der Außenspiegel|مرآة جانبية|Stellen Sie den Außenspiegel ein.|اضبط المرآة الجانبية.|car-interior
vocab-005|das Gaspedal|دواسة الوقود|Treten Sie das Gaspedal langsam.|اضغط على دواسة الوقود ببطء.|car-interior
vocab-006|die Bremse|الفرامل|Treten Sie die Bremse leicht.|اضغط على الفرامل برفق.|car-interior
vocab-007|die Kupplung|دواسة القابض|Treten Sie die Kupplung ganz durch.|اضغط على دواسة القابض بالكامل.|car-interior
vocab-008|das Handschuhfach|درج القفازات|Das Handbuch ist im Handschuhfach.|الدليل في درج القفازات.|car-interior
vocab-009|der Blinker|إشارة الانعطاف|Setzen Sie den Blinker rechts.|أعطِ إشارة اليمين.|car-interior
vocab-010|die Hupe|البوق|Benutzen Sie die Hupe nur im Notfall.|استخدم البوق في حالات الطوارئ فقط.|car-interior
vocab-011|das Armaturenbrett|لوحة القيادة|Alle Anzeigen sind auf dem Armaturenbrett.|جميع المؤشرات على لوحة القيادة.|car-interior
vocab-012|der Tacho|عداد السرعة|Achten Sie auf den Tacho.|انتبه لعداد السرعة.|car-interior
vocab-013|der Tank|خزان الوقود|Der Tank ist fast leer.|خزان الوقود شبه فارغ.|car-interior
vocab-014|die Schaltung|ناقل الحركة|Schalten Sie in den zweiten Gang.|انتقل إلى الترس الثاني.|car-interior
vocab-015|der Schalthebel|ذراع تغيير السرعات|Legen Sie den Schalthebel in die Parkposition.|ضع ذراع تغيير السرعات في وضع الإيقاف.|car-interior
vocab-016|das Licht|الأضواء|Schalten Sie das Licht ein.|قم بتشغيل الأضواء.|car-interior
vocab-017|die Frontscheibe|الزجاج الأمامي|Die Frontscheibe ist beschlagen.|الزجاج الأمامي ضبابي.|car-interior
vocab-018|der Scheibenwischer|ماسحة الزجاج الأمامي|Schalten Sie die Scheibenwischer ein.|شغّل ماسحات الزجاج الأمامي.|car-interior
vocab-019|die Klimaanlage|مكيف الهواء|Stellen Sie die Klimaanlage ein.|اضبط مكيف الهواء.|car-interior
vocab-020|das Abblendlicht|الأضواء القريبة|Schalten Sie das Abblendlicht ein.|شغّل الأضواء القريبة.|car-interior
vocab-021|das Fernlicht|الأضواء البعيدة|Das Fernlicht blendet andere Fahrer.|الأضواء البعيدة تبهر السائقين الآخرين.|car-interior
vocab-022|die Warnblinkanlage|أضواء الخطر|Schalten Sie die Warnblinkanlage ein.|شغّل أضواء الخطر.|car-interior
vocab-023|das Lenkradschloss|قفل عجلة القيادة|Das Lenkradschloss ist aktiviert.|قفل عجلة القيادة مفعّل.|car-interior
