# TRAFFIC SIGNS DATA FILE
# Format: ID|GERMAN_NAME|ARABIC_NAME|DESCRIPTION|ARABIC_DESCRIPTION|RULES|ARABIC_RULES|EXAMPLES|ARABIC_EXAMPLES|CATEGORY
# Note: Multiple rules/examples are separated by ;

sign-001|Vorfahrt gewähren|أعطِ الأولوية|Dreieckiges Schild - anderen Verkehrsteilnehmern Vorfahrt gewähren|علامة مثلثة - أعطِ الأولوية للمركبات الأخرى|Vor dem Einfahren anhalten oder verlangsamen;Auf kreuzenden Verkehr achten;Im Zweifelsfall immer anhalten|أوقف السيارة أو أبطئ قبل الدخول;انتبه للمركبات المتقاطعة;في حال الشك، أوقف دائماً|An Einmündungen;Vor Kreisverkehren;An Ausfahrten|عند التقاطعات;أمام الدوّارات;عند نقاط الخروج|priority
sign-002|Stop|قف|Achteckiges rotes Schild - vollständiges Anhalten erforderlich|علامة حمراء ثمانية الأضياع - يجب التوقف التام|Vollständig anhalten;Auf Verkehr aus allen Richtungen warten;Erst weiterfahren wenn frei|التوقف التام;انتظر المرور من كل الاتجاهات;تابع فقط عندما يكون الطريق خالياً|An Kreuzungen ohne Vorfahrt;An Bahnübergängen;An Einfahrten|عند التقاطعات بدون أولوية;عند ممرات السكة الحديدية;عند المداخل|priority
sign-003|Lichtzeichenanlage|إشارة ضوئية للمرور|Hinweis auf eine Ampelanlage voraus|تنبيه لوجود إشارة ضوئية أمامك|Bei Grün fahren;Bei Gelb bremsen oder Kreuzung räumen;Bei Rot anhalten|سِر عند الأخضر;اكبح عند الأصفر أو أخلِ التقاطع;قف عند الأحمر|An Kreuzungen;An Fußgängerüberwegen;An Bahnübergängen|عند التقاطعات;عند ممرات المشاة;عند ممرات السكة الحديدية|regulatory
sign-004|Geschwindigkeitsbegrenzung 50|حد سرعة 50|Rundes Schild - Höchstgeschwindigkeit 50 km/h|علامة دائرية - السرعة القصوى 50 كم/ساعة|Nicht schneller als 50 km/h fahren;Gilt ab dem Schild bis zur Aufhebung;In Städten oft Standard|لا تتجاوز 50 كم/ساعة;يسري من مكان العلامة حتى إلغائه;المعيار في المدن في الغالب|In Ortsgebieten;Vor Schulen;In Wohngebieten|في المناطق السكنية;أمام المدارس;في الأحياء السكنية|regulatory
sign-005|Überholverbot|ممنوع التجاوز|Rundes Schild - überholen ist verboten|علامة دائرية - التجاوز ممنوع|Kein Überholen von Kraftfahrzeugen;Gilt für alle Kraftfahrzeuge;Endet am Aufhebungsschild|لا يجوز تجاوز المركبات الآلية;يسري على جميع المركبات الآلية;ينتهي عند علامة الإلغاء|Auf schmalen Straßen;Vor Kurven;Bei schlechter Sicht|في الطرق الضيقة;قبل المنعطفات;في حالة ضعف الرؤية|prohibition
sign-006|Einfahrt verboten|الدخول ممنوع|Rundes rotes Schild - keine Einfahrt erlaubt|علامة حمراء دائرية - الدخول غير مسموح|Nicht in diese Straße einfahren;Gilt für alle Fahrzeuge;Oft bei Einbahnstraßen|لا تدخل هذا الشارع;يسري على جميع السيارات;غالباً عند شوارع اتجاه واحد|Einbahnstraßen (Gegenrichtung);Ausfahrten;Gesperrte Bereiche|شوارع الاتجاه الواحد (عكس الاتجاه);منافذ الخروج;المناطق المقفولة|prohibition
sign-007|Fußgängerüberweg|ممر مشاة|Hinweis auf einen Fußgängerübergang|تنبيه لوجود ممر مشاة|Fußgängern Vorrang geben;Geschwindigkeit reduzieren;Anhalten wenn jemand überqueren möchte|أعطِ الأولوية للمشاة;خفّض السرعة;قف إذا أراد شخص العبور|Vor Schulen;Im Stadtzentrum;An Einkaufszentren|أمام المدارس;في مركز المدينة;عند مراكز التسوق|information
sign-008|Baustelle|منطقة بناء|Warnschild - Baustelle voraus|لافتة تحذير - منطقة بناء أمامك|Geschwindigkeit reduzieren;Auf Bauarbeiter achten;Spuränderungen möglich|خفّض السرعة;انتبه لعمال البناء;تغييرات في المسارات ممكنة|Auf Straßenbaustellen;Bei Fahrbahnverengungen;Bei Umleitungen|في مواقع بناء الطرق;عند تضييق الطريق;عند التحويلات|warning
sign-009|Kurve|منعطف|Warnschild vor einer Kurve links oder rechts|لافتة تحذير من منعطف يمين أو يسار|Geschwindigkeit reduzieren;Nicht überholen;Auf Gegenverkehr achten|خفّض السرعة;لا تتجاوز;انتبه للسير المعاكس|Auf Landstraßen;In Bergregionen;Bei unübersichtlichen Wegen|في الطرق الريفية;في المناطق الجبلية;في الطرق غير الواضحة|warning
sign-010|Vorfahrtstraße|طريق ذو أولوية|Gelbes Rautenschild - Sie haben Vorfahrt|علامة صفراء مشكلة ماسة - لديك الأولوية|Andere müssen Vorfahrt gewähren;Gilt entlang der gesamten Straße;Endet am Ende der Vorfahrtstraße|على الآخرين إعطاء الأولوية;يسري على طول الشارع بأكمله;ينتهي عند نهاية طريق الأولوية|In Hauptstraßen;In Städten;Auf Bundesstraßen|في الشوارع الرئيسية;في المدن;على الطرق الاتحادية|priority
